tick,timestamp,cell0_load,cell1_load,cell2_load,cell0_throughput,cell1_throughput,cell2_throughput,cell0_ue_count,cell1_ue_count,cell2_ue_count,cell0_avg_sinr,cell1_avg_sinr,cell2_avg_sinr,system_throughput,system_avg_sinr,system_avg_latency_ms,handover_count,handover_rate,packet_loss_rate,is_congested,congestion_level
10,10.0,0.25,0.54,0.32,429.0627549455103,610.6358621504346,428.3322423897333,7,8,5,8.019128546335148,10.738552800686655,12.156707582676617,1468.0308594856783,10.141293007161119,23.39313797044516,0,0.0,0.0,0,0.54
11,11.0,0.22,0.54,0.35,410.97543045906366,612.0787746929658,447.360278178616,6,8,6,9.566208963240443,10.76712672045126,10.041520613129387,1470.4144833306455,10.189169561091456,23.37909212465012,1,0.05,0.0,0,0.54
12,12.0,0.22,0.54,0.35,410.2832670193817,613.5030400847456,449.0991329471584,6,8,6,9.640902354817987,10.795175303806499,10.095206094197017,1472.8854400512857,10.238902656227102,23.351447802746797,0,0.0,0.0,0,0.54
13,13.0,0.22,0.54,0.35,409.5829251024794,614.9093436107987,450.84021297887415,6,8,6,9.716077804786254,10.822712684080294,10.14872178807112,1475.3324816921522,10.28852495148933,23.3286492078573,0,0.0,0.0,0,0.54
14,14.0,0.22,0.54,0.35,408.87431681429354,616.2983732943603,452.5831024770925,6,8,6,9.791224508837601,10.849753067601565,10.202060788823317,1477.7557925857463,10.337886816338901,23.310632416339164,0,0.0,0.0,0,0.54
15,15.0,0.22,0.54,0.35,408.1573675081819,617.6708168922664,454.3273739066317,6,8,6,9.865677461395775,10.87631067315209,10.255215935441663,1480.15555830708,10.38679228831207,23.297338975017233,0,0.0,0.0,0,0.54
16,16.0,0.22,0.54,0.35,407.4320158289238,619.0273590935802,456.0725876189664,6,8,6,9.93858860665946,10.902399675286526,10.30817979520111,1482.5319625414704,10.434990390672782,23.28871582150473,0,0.0,0.0,0,0.54
17,17.0,0.22,0.54,0.35,406.69821372801545,620.3686789272366,457.81829146323986,6,8,6,10.008898998517795,10.928034151640919,10.360944646979085,1484.885184118492,10.482166754305432,23.28471521155076,0,0.0,0.0,0,0.54
18,18.0,0.22,0.54,0.35,405.9559264504653,621.695447380896,459.5640203858973,6,8,6,10.075316457392786,10.953228034281288,10.413502464592181,1487.2153942172586,10.527936890308006,23.285294653523103,0,0.0,0.0,0,0.54
19,19.0,0.22,0.54,0.35,405.20513249337404,623.008325229925,461.3092960221306,6,8,6,10.136305464028794,10.977995065081677,10.465844900238137,1489.5227537454296,10.57184313531275,23.290416850134392,0,0.0,0.0,0,0.54
20,20.0,0.22,0.54,0.35,404.44582353669284,624.3079610723867,463.05362628282467,6,8,6,10.190098263896909,11.002348755062844,10.51796326813862,1491.807410891904,10.613357961635796,23.300049647519522,0,0.0,0.0,0,0.54
21,21.0,0.22,0.54,0.35,403.67800434661467,625.5949895632991,464.7965049411895,6,8,6,10.234737437866364,11.026302347572715,10.569848528488464,1494.0694988511032,10.651896728935535,23.314165991775077,0,0.0,0.0,0,0.54
22,22.0,0.22,0.54,0.35,402.90169265216093,626.8700298390668,466.537411223764,6,8,6,10.268159054052834,11.049868785144412,10.621491271828777,1496.309133714992,10.686842611822248,23.332743893072564,0,0.0,0.0,0,0.54
23,23.0,0.22,0.54,0.35,402.11691899559446,628.1336841209859,468.2758094110276,6,8,6,10.288320302023555,11.073060679829135,10.672881703973161,1498.5264125276076,10.717584873730669,23.355766397463213,0,0.0,0.0,0,0.54
24,24.0,0.22,0.54,0.35,401.3237265573598,629.3865364850648,470.011148453384,6,8,6,10.29336537845068,11.095890286769105,10.724009631628709,1500.7214114958083,10.743568617731459,23.383221566497028,0,0.0,0.0,0,0.54
25,25.0,0.22,0.54,0.35,400.5221709563498,630.6291517840195,471.7428616088462,6,8,6,10.281809741244475,11.11836948074898,10.774864448866083,1502.8941843492157,10.764350049332759,23.4151024647839,0,0.0,0.0,0,0.54
26,26.0,0.22,0.54,0.35,399.7123200263419,631.8620747062316,473.47036610930485,6,8,6,10.25271024390202,11.140509735443061,10.825435124606146,1505.044760841878,10.779647504729676,23.45140715563442,0,0.0,0.0,0,0.54
27,27.0,0.22,0.54,0.35,398.8942535695253,633.0858289556426,475.1930628628215,6,8,6,10.205783744108158,11.162322105059731,10.875710191303488,1507.173145387989,10.789377022647388,23.492138704925274,0,0.0,0.0,0,0.54
28,28.0,0.22,0.54,0.35,398.0680630881061,634.3009165359996,476.9103361999363,6,8,6,10.141444583640954,11.183817208073052,10.925677735020166,1509.2793158240418,10.793663578827555,23.537305193344046,0,0.0,0.0,0,0.54
29,29.0,0.22,0.54,0.35,397.2338514950229,635.5078171225077,478.6215536725068,6,8,6,10.060751038843955,11.205005212724235,10.975325387095495,1511.3632222900374,10.792825012871528,23.58691973718038,0,0.0,0.0,0,0.54
30,30.0,0.22,0.54,0.35,397.9643155686083,634.6396140537277,478.0309799312675,6,8,6,9.95821483510336,11.189820239981334,10.962444415789461,1510.6349095536032,10.75212587126038,23.69472874646643,0,0.0,0.0,0,0.54
31,31.0,0.2,0.54,0.37,386.6588253414042,633.7787271628049,489.94065776067396,5,8,7,12.387287722583547,11.174756154831249,9.007601891549337,1510.378210264883,10.719385054620655,23.637731977487746,1,0.05,0.0,0,0.54
32,32.0,0.2,0.54,0.37,387.79309119560355,632.9244203455876,489.59157649267405,5,8,7,12.280671446509967,11.15979936164063,9.015140500299703,1510.3090880338652,10.68938678138864,23.5058210743025,0,0.0,0.0,0,0.54
33,33.0,0.2,0.54,0.37,388.9120971821586,632.0759540023348,489.57324571689725,5,8,7,12.16836818221297,11.144936164669662,9.030179581152138,1510.5612969013905,10.660629364824356,23.375813751080344,0,0.0,0.0,0,0.54
34,34.0,0.2,0.54,0.37,390.0148760118219,631.2325852033416,490.0066201017962,5,8,7,12.052626935812421,11.130152771708644,9.055541271262621,1511.2540813169599,10.63465728757848,23.246387818627852,0,0.0,0.0,0,0.54
35,35.0,0.2,0.54,0.37,391.1004699201908,630.3935679124245,490.394954864629,5,8,7,11.935220339035542,11.115435298798618,9.079586578537478,1511.888992697244,10.60783450676645,23.122139172098503,0,0.0,0.0,0,0.54
36,36.0,0.2,0.54,0.37,392.1679336082508,629.5581532719908,490.73670315715185,5,8,7,11.817503053175866,11.10076977610587,9.102288323129407,1512.4627900373932,10.580484586831608,23.00287481966225,0,0.0,0.0,0,0.54
37,37.0,0.2,0.54,0.37,393.2163373294223,628.7255899532862,491.03056930939283,5,8,7,11.700480206612706,11.086142155017637,9.123624540993854,1512.9724965921012,10.552845503008081,22.888413847552876,0,0.0,0.0,0,0.54
38,38.0,0.2,0.54,0.37,394.2447701046109,627.895124575253,491.2755251457117,5,8,7,11.584874456522448,11.071538316523402,9.143578828268549,1513.4154198255758,10.525086530633965,22.778586647395453,0,0.0,0.0,0,0.54
39,39.0,0.2,0.54,0.37,395.2523430432909,627.0660021952543,491.470823089168,5,8,7,11.471185912193105,11.056944080942888,9.162140617748888,1513.7891683277132,10.497323326637542,22.67323419275228,0,0.0,0.0,0,0.54
40,40.0,0.2,0.54,0.37,396.2381927452747,626.2374668746381,491.6160056799482,5,8,7,11.359742781636417,11.042345219056543,9.179305379385822,1514.091665299861,10.469630665816755,22.572207362181253,0,0.0,0.0,0,0.54
41,41.0,0.2,0.54,0.37,397.20148475459075,625.408762321842,491.71091122687335,5,8,7,11.250742652535672,11.027727464689299,9.195074738732448,1514.321158303306,10.442052807565997,22.475366306253424,0,0.0,0.0,0,0.54
42,42.0,0.2,0.54,0.37,398.1414170339086,624.5791326153502,491.7556754178804,5,8,7,11.144285317529931,11.013076528791037,9.209456509557672,1514.476225067139,10.414611719244084,22.382579856105707,0,0.0,0.0,0,0.54
43,43.0,0.2,0.54,0.37,399.0572234253208,623.7478230084091,491.7507288308834,5,8,7,11.040398426096385,10.99837811504963,9.22246463932403,1514.5557752646132,10.387313476307357,22.293724971211766,0,0.0,0.0,0,0.54
44,44.0,0.2,0.54,0.37,399.9481770610565,622.9140808169032,491.69679040491127,5,8,7,10.939057280621157,10.983617937062958,9.2341190687701,1514.5590482828707,10.360153169050006,22.20868622414516,0,0.0,0.0,0,0.54
45,45.0,0.2,0.54,0.37,398.77963418258565,622.0771563912526,491.59485704703616,5,8,7,10.8401999709146,10.968781737086271,9.244445509319988,1512.4516476208744,10.333118615825153,22.129940898235848,0,0.0,0.0,0,0.54
46,46.0,0.2,0.54,0.37,395.5254709804998,621.2363041725695,491.44618965772565,5,8,7,10.743738860091126,10.953855306359268,9.253475144342053,1508.207964810795,10.306193138086204,22.05758479768448,0,0.0,0.0,0,0.54
47,47.0,0.2,0.54,0.37,392.3518248108275,620.3907838326093,491.2522959508105,5,8,7,10.649569247393856,10.938824507004519,9.2612442622883,1503.9949045942471,10.279357606451176,21.98882209920074,0,0.0,0.0,0,0.54
48,48.0,0.2,0.54,0.37,389.25494401425715,619.539861496324,491.0149105202974,5,8,7,10.557575863932868,10.92367529547479,9.267793831377919,1499.8097160308785,10.252591925155407,21.923563876822463,0,0.0,0.0,0,0.54
49,49.0,0.2,0.54,0.37,386.2308929155609,618.6828110450059,490.73597266188534,5,8,7,10.46763771382355,10.90839374751171,9.27316902668319,1495.6496766224523,10.225876086799687,21.86172723473511,0,0.0,0.0,0,0.54
50,50.0,0.2,0.54,0.37,383.2756706207309,617.8189154971265,490.4176024909386,5,8,7,10.379631656595766,10.892966084561419,9.27741872120326,1491.512188608796,10.19919090039465,21.803234890333385,0,0.0,0.0,0,0.54
51,51.0,0.2,0.54,0.37,380.3852980800494,616.947468463094,490.0620759106468,5,8,7,10.293435034331374,10.877378701576504,9.280594952767943,1487.39484245379,10.172518472682228,21.74801479703668,0,0.0,0.0,0,0.54
52,52.0,0.2,0.54,0.37,377.5558811050271,616.0677756691658,489.6043196764986,5,8,7,10.208927574959393,10.861618196114744,9.280343835405905,1483.2279764506914,10.144999514577812,21.700763415459654,0,0.0,0.0,0,0.54
53,53.0,0.2,0.54,0.37,374.78365518285864,615.1791565447979,488.9767004323759,5,8,7,10.12599274761987,10.845671398627424,9.274219784484018,1478.9395121600326,10.115743670925344,21.666361351245346,0,0.0,0.0,0,0.54
54,54.0,0.2,0.54,0.37,372.065016521095,614.280945866683,488.3195067662737,5,8,7,10.044518703533964,10.829525403810516,9.267195763094817,1474.6654691540516,10.086458354490883,21.63503130264235,0,0.0,0.0,0,0.54
55,55.0,0.2,0.54,0.37,369.39654268121694,613.3724954517654,487.63535534790174,5,8,7,9.964398903486908,10.813167602873953,9.25932894297089,1470.4043934808842,10.057131897061122,21.606728643251774,0,0.0,0.0,0,0.54
56,56.0,0.2,0.54,0.37,366.77500534506214,612.4531758904914,486.9268940192824,5,8,7,9.885532508505023,10.796585716564845,9.250677013282523,1466.1550752548362,10.027754368401078,21.581412542540086,0,0.0,0.0,0,0.54
57,57.0,0.2,0.54,0.37,364.1973771413403,611.522378310631,486.19677994716864,5,8,7,9.807824591743156,10.779767828763177,9.24129771725257,1461.9165353991395,9.99831748047946,21.559045757034415,0,0.0,0.0,0,0.54
58,58.0,0.2,0.54,0.37,361.6608339933865,610.5795161610732,485.4476594608891,5,8,7,9.731186215568744,10.762702420450893,9.231248425128399,1457.6880096153488,9.968814470867482,21.539594439067162,0,0.0,0.0,0,0.54
59,59.0,0.2,0.54,0.37,359.1627540973676,609.6240270041753,484.6821497335473,5,8,7,9.655534407234828,10.74537840383989,9.220585746850672,1453.4689308350903,9.939239974742398,21.523027961444942,0,0.0,0.0,0,0.54
60,60.0,0.2,0.54,0.37,360.1209067708705,608.6340668290268,481.5662077096489,5,8,7,9.678683272133576,10.72857858567555,9.159182403844218,1450.3211813095463,9.916816093649091,21.521163238431853,0,0.0,0.0,0,0.54
61,61.0,0.2,0.54,0.37,361.0448294162803,607.6341425424971,478.47951789138324,5,8,7,9.700359091427515,10.711495022425165,9.098297781403177,1447.1584898501605,9.894092005318056,21.523079309617827,0,0.0,0.0,0,0.54
62,62.0,0.17,0.54,0.4,344.7678435509117,606.6238713426869,493.2774158968999,4,8,8,12.375580798593607,10.694117269538758,7.824245898433986,1444.6691307904987,9.882461426907819,21.41638726376336,1,0.05,0.0,0,0.54
63,63.0,0.17,0.54,0.4,345.959517480763,605.602894962065,490.61051892017673,4,8,8,12.427497880707113,10.676435288283155,7.78650013674112,1442.1729313630046,9.87067374615113,21.311986113238422,0,0.0,0.0,0,0.54
64,64.0,0.17,0.54,0.4,347.11195076768144,604.5708775917839,487.97896967812505,4,8,8,12.47764507077533,10.658439407529256,7.749238913164964,1439.6617980375906,9.858600342432755,21.21103923715315,0,0.0,0.0,0,0.54
65,65.0,0.17,0.54,0.4,348.2248562145255,603.5275036152427,485.38281661439316,4,8,8,12.526018514183114,10.640120282028928,7.712461476270563,1437.1351764441615,9.846236406156418,21.113497986410657,0,0.0,0.0,0,0.54
66,66.0,0.17,0.54,0.4,349.2980453363743,602.4724752014695,482.8220931457276,4,8,8,12.572617999902626,10.621468848132741,7.676166810282553,1434.5926136835715,9.833577863346644,21.019315542559465,0,0.0,0.0,0,0.54
67,67.0,0.17,0.54,0.4,350.3314313662322,601.4055098116382,480.29681712846275,4,8,8,12.61744706926267,10.60247627795113,7.640353625725052,1432.033758306333,9.820621375323006,20.928446885775355,0,0.0,0.0,0,0.54
68,68.0,0.17,0.54,0.4,351.32503126914224,600.326337674029,477.80699062967426,4,8,8,12.660513087671266,10.583133932998845,7.605020355755481,1429.4583595728452,9.807364333035983,20.840848765030486,0,0.0,0.0,0,0.54
69,69.0,0.17,0.54,0.4,352.278966728315,599.2346992839713,475.35259994814555,4,8,8,12.70182727792523,10.56343331838529,7.570165157158788,1426.8662659604315,9.793804845802676,20.756479670436015,0,0.0,0.0,0,0.54
70,70.0,0.17,0.54,0.4,353.1934640867341,598.1303429857218,472.84510309953987,4,8,8,12.741404714486126,10.543366038621041,7.533015911723709,1424.168910171996,9.778833723035124,20.681590076306996,0,0.0,0.0,0,0.54
71,71.0,0.17,0.54,0.4,354.06885324788004,597.0130226927977,470.3162089029386,4,8,8,12.779264278859946,10.522923756102287,7.494561559345521,1421.3980848436163,9.762846981951114,20.613903238419006,0,0.0,0.0,0,0.54
72,72.0,0.17,0.54,0.4,354.90556555914293,595.8824958019644,467.8224729514954,4,8,8,12.81542857696625,10.502098153309838,7.456570329629921,1418.6105343126026,9.746553108569156,20.549366128672027,0,0.0,0.0,0,0.54
73,73.0,0.17,0.54,0.4,355.7041307205441,594.7385213539155,465.3638131929821,4,8,8,12.849923820098262,10.480880899718535,7.419038708972122,1415.8064652674418,9.729952607495916,20.48794743759084,0,0.0,0.0,0,0.54
74,74.0,0.17,0.54,0.4,356.46517277894014,593.5808584906147,462.9401343172697,4,8,8,12.882779671734532,10.459263624354769,7.3819629556494135,1412.9861655868247,9.713046566348579,20.429617510527684,0,0.0,0.0,0,0.54
75,75.0,0.17,0.54,0.4,357.18940528349424,592.4092652553652,460.55132849146105,4,8,8,12.914029063049291,10.437237894866245,7.345339113879355,1410.1499990303205,9.6958366161081,20.374348333901782,0,0.0,0.0,0,0.54
76,76.0,0.17,0.54,0.4,357.8776256914106,591.2234977769289,458.1972761266693,4,8,8,12.943707980464652,10.41479520387865,7.309163028427486,1407.2983995950085,9.678324889015384,20.32211352319064,0,0.0,0.0,0,0.54
77,77.0,0.17,0.54,0.4,358.530709123438,590.0233098734591,455.8778466616709,4,8,8,12.971855228982523,10.391926963309071,7.273430359486532,1404.4318656585676,9.660513974914746,20.272888312582815,0,0.0,0.0,0,0.54
78,78.0,0.17,0.54,0.4,359.1496015762952,588.8084531057024,453.59289935128476,4,8,8,12.998512175320993,10.368624507187217,7.238136597598437,1401.5509540332823,9.64240687697846,20.226649546202673,0,0.0,0.0,0,0.54
79,79.0,0.17,0.54,0.4,359.73531270383506,587.5786773019064,451.34228404964233,4,8,8,13.023722475054818,10.34487910340324,7.203277078434406,1398.6562740553836,9.624006967746023,20.183375670819142,0,0.0,0.0,0,0.54
80,80.0,0.17,0.54,0.4,360.28890828052647,586.3337315692038,449.12584198045755,4,8,8,13.047531788025434,10.320681974656692,7.168846997284838,1395.7484818301878,9.6053179463817,20.14304672995508,0,0.0,0.0,0,0.54
81,81.0,0.17,0.54,0.4,360.8115024598377,585.0733657980428,446.9434064880657,4,8,8,13.069987486247953,10.296024328726709,7.134841423142504,1392.8282747459464,9.586343797997277,20.105644359320436,0,0.0,0.0,0,0.54
82,82.0,0.17,0.54,0.4,361.304249936569,583.7973326575232,444.7948037644404,4,8,8,13.091138358409154,10.270897398019605,7.10125531228956,1389.8963863585325,9.567088755805496,20.071151783501183,0,0.0,0.0,0,0.54
83,83.0,0.17,0.54,0.4,361.7683381164113,582.5053900704962,442.6798535485801,4,8,8,13.111034314833152,10.245292488180736,7.068083521321572,1386.9535817354877,9.547557266767555,20.03955381384545,0,0.0,0.0,0,0.54
84,84.0,0.17,0.54,0.4,362.20497938842493,581.1973041480304,440.5983697956559,4,8,8,13.129726096505795,10.219201035383408,7.035320819560504,1384.0006533321114,9.527753961278723,20.010836847500546,0,0.0,0.0,0,0.54
85,85.0,0.17,0.54,0.4,362.6154035870142,579.8728525535417,438.5501613141698,4,8,8,13.14726499140566,10.192614671732551,7.002961900825273,1381.0384174547257,9.507683627304264,19.98498886756571,0,0.0,0.0,0,0.54
86,86.0,0.17,0.54,0.4,363.00085071983466,578.5318282577061,436.5350323700286,4,8,8,13.163702561007954,10.1655252980484,6.971001394540714,1378.0677113475692,9.487351189237234,19.961999444339405,0,0.0,0.0,0,0.54
87,87.0,0.17,0.54,0.4,363.3625640272194,577.1740436363732,434.55278325704865,4,8,8,13.179090379419321,10.137925163128145,6.939433876177746,1375.089390920641,9.466761691606221,19.941859737652074,0,0.0,0.0,0,0.54
88,88.0,0.17,0.54,0.4,363.70178342757504,575.7993348552977,432.6032108338194,4,8,8,13.193479787182639,10.109806948425597,6.9082538770252535,1372.104329116692,9.445920287616868,19.924562500289014,0,0.0,0.0,0,0.54
89,89.0,0.17,0.54,0.4,364.01973939205794,574.4075664778688,430.68610902725163,4,8,8,13.206921661371766,10.081163856945665,6.877455893302054,1369.1134148971782,9.424832232373443,19.910102082519884,0,0.0,0.0,0,0.54
90,90.0,0.17,0.54,0.4,365.0933426640829,574.7743176478833,430.50844474910093,4,8,8,13.259250276813383,10.089923576383136,6.874807434441362,1370.3761050610672,9.437742459692476,19.86509828112913,0,0.0,0.0,0,0.54
91,91.0,0.17,0.54,0.4,366.172132051836,575.1211043632816,430.315701138843,4,8,8,13.311495490567298,10.098251871749868,6.871698838532798,1371.6089375539605,9.450279382226528,19.822510197227373,0,0.0,0.0,0,0.54
92,92.0,0.17,0.54,0.4,367.2553671753343,575.4494249830879,430.10790809721,4,8,8,13.363625247837845,10.106176364801577,6.868130739457034,1372.8127002556319,9.462447891271013,19.78232602588067,0,0.0,0.0,0,0.54
93,93.0,0.17,0.54,0.4,368.34228149523045,575.7608175348305,429.88510465521887,4,8,8,13.415606990039656,10.113725425089427,6.8641039177676895,1373.9882036852798,9.474253135150777,19.744534185158237,0,0.0,0.0,0,0.54
94,94.0,0.17,0.54,0.4,369.4320852636071,576.0568520652251,429.64733903371786,4,8,8,13.467407771998406,10.120928026479628,6.8596193025640035,1375.1362763625502,9.485700486017134,19.709123355239974,0,0.0,0.0,0,0.54
95,95.0,0.17,0.54,0.4,370.5239688439174,576.3391232205294,429.39466868510624,4,8,8,13.518994390779238,10.127813607998156,6.854677973023394,1376.257760749553,9.496795510564468,19.676082517513414,0,0.0,0.0,0,0.54
96,96.0,0.17,0.54,0.4,371.61710639646606,576.6092431262158,429.12716031674836,4,8,8,13.570333525991174,10.13441194031059,6.849281159585377,1377.3535098394302,9.507543945156623,19.645400993452412,0,0.0,0.0,0,0.54
97,97.0,0.17,0.54,0.4,372.7106599205302,576.8688346250694,428.8448898957071,4,8,8,13.621391891235765,10.14075299894852,6.843430244780473,1378.4243844413068,9.51795167573875,19.617068483091042,0,0.0,0.0,0,0.54
98,98.0,0.17,0.54,0.4,373.80378363844534,577.1195249220667,428.5479426344881,4,8,8,13.672136396170753,10.146866845191887,6.837126763698726,1379.4712511950001,9.528024722790398,19.591075102929757,0,0.0,0.0,0,0.54
99,99.0,0.17,0.54,0.4,374.89562870086706,577.3629396738194,428.2364129575858,4,8,8,13.7225343184484,10.152783515317562,6.830372404094522,1380.4949813322723,9.537769231454515,19.567411423134413,0,0.0,0.0,0,0.54
100,100.0,0.17,0.54,0.4,375.98534818595044,577.6006975501992,427.9104044487061,4,8,8,13.772553484563227,10.158532918733275,6.823169006125811,1381.4964501848558,9.54719146685628,19.546068503912384,0,0.0,0.0,0,0.54
101,101.0,0.17,0.54,0.4,377.07210235858724,577.834405286133,427.5700297786493,4,8,8,13.822162458413096,10.164144745334788,6.8155185617279885,1382.4765374233696,9.556297814507731,19.527037930975098,0,0.0,0.0,0,0.54
102,102.0,0.17,0.54,0.4,378.15506414913085,578.0656532327935,427.2154106139012,4,8,8,13.871330736141346,10.169648382259389,6.807423213623754,1383.4361279958257,9.565094785581525,19.510311850020255,0,0.0,0.0,0,0.54
103,103.0,0.17,0.54,0.4,379.2334248044474,578.2960114094551,426.84667750610726,4,8,8,13.920028945594883,10.175072840059038,6.798885253972736,1384.3761137200102,9.573589026731685,19.49588300019068,0,0.0,0.0,0,0.54
104,104.0,0.17,0.54,0.4,380.306399657778,578.5270260503104,426.4639697626603,4,8,8,13.968229048507379,10.180446688185317,6.789907122665646,1385.2973954707486,9.58178733404186,19.48374474648986,0,0.0,0.0,0,0.54
105,105.0,0.17,0.54,0.4,381.37323395794215,578.7602166345799,426.0674352987556,4,8,8,14.015904543304565,10.18579799956618,6.780491405269977,1386.2008858912777,9.589696670595377,19.473891111156554,0,0.0,0.0,0,0.54
106,106.0,0.17,0.54,0.4,382.43320869308695,578.9970733832394,425.6572304713216,4,8,8,14.063030666238134,10.191154303960154,6.770640830635336,1387.0875125476477,9.597324187085823,19.466316804020916,0,0.0,0.0,0,0.54
107,107.0,0.17,0.54,0.4,383.48564633960024,579.2390552016641,425.2335198953502,4,8,8,14.109584588390298,10.196542549698073,6.760358268168562,1387.9582214366146,9.604677244824714,19.46101725188444,0,0.0,0.0,0,0.54
108,108.0,0.17,0.54,0.4,384.52991646316815,579.4875880443827,424.7964762432081,4,8,8,14.155545605960251,10.201989073363837,6.749646724789917,1388.8139807507591,9.611763440453553,19.457988626983244,0,0.0,0.0,0,0.54
109,109.0,0.17,0.54,0.4,385.56544109640606,579.7440636758308,424.3462800275859,4,8,8,14.20089532115206,10.207519576922424,6.738509341582882,1389.6557847998226,9.618590631632534,19.4572278746105,0,0.0,0.0,0,0.54
110,110.0,0.17,0.54,0.4,386.5916998161523,580.0098387995331,423.8831193688359,4,8,8,14.245617810935189,10.213159111775978,6.726949390151997,1390.4846579845214,9.625166962958229,19.45873273998629,0,0.0,0.0,0,0.54
111,111.0,0.17,0.54,0.4,387.60823444347284,580.2862345272652,423.4071897474804,4,8,8,14.289699780947872,10.218932069212016,6.714970268703538,1391.3016587182185,9.631500891355795,19.462501794476932,0,0.0,0.0,0,0.54
112,112.0,0.17,0.54,0.4,388.6146532907487,580.5745361595636,422.918693742763,4,8,8,14.33313070186181,10.224862176704725,6.702575497865681,1392.1078831930756,9.637601210200526,19.468534461273173,0,0.0,0.0,0,0.54
113,113.0,0.17,0.54,0.4,389.61063488291535,580.8759932491889,422.41784075814417,4,8,8,14.375902925625116,10.23097249953442,6.689768716265096,1392.9044688902486,9.64347707144483,19.476831040646235,0,0.0,0.0,0,0.54
114,114.0,0.17,0.54,0.4,390.5959310839336,581.1918199198665,421.90484673470473,4,8,8,14.418011779146827,10.237285447204052,6.676553675878254,1393.6925977385047,9.649138005062287,19.487392734904528,0,0.0,0.0,0,0.54
115,115.0,0.17,0.54,0.4,391.5703695648454,581.5231954136532,421.3799338534517,4,8,8,14.459455633178479,10.243822784150652,6.662934237176073,1394.4734988319499,9.654593935166387,19.500221673178846,0,0.0,0.0,0,0.54
116,116.0,0.17,0.54,0.4,392.53385555612,581.8712648415957,420.8433302275574,4,8,8,14.500235944380336,10.250605644274682,6.648914364081355,1395.248450625273,9.659855192218483,19.51532093616419,0,0.0,0.0,0,0.54
117,117.0,0.17,0.54,0.4,393.4863728342654,582.2371401138446,420.29526958558824,4,8,8,14.5403572688248,10.257654548838106,6.634498118758682,1396.0187825336982,9.664932520803678,19.532694580947737,0,0.0,0.0,0,0.54
118,118.0,0.17,0.54,0.4,394.4279839006394,582.6219010270529,419.73599094678957,4,8,8,14.579827245480104,10.264989427313639,6.619689656256835,1396.785875874482,9.669837082524209,19.552347666050373,0,0.0,0.0,0,0.54
119,119.0,0.17,0.62,0.32,395.35882931875534,601.2596036007754,401.11936398973984,4,9,7,14.618656548521924,9.070195943566347,7.635058625921498,1397.7377969092709,9.677590003381765,19.545926047199572,1,0.05,0.0,0,0.62
120,120.0,0.17,0.62,0.32,392.3690271436142,601.6912165754665,400.57373627533366,4,9,7,14.498079760371299,9.079153262397654,7.6187153043622615,1394.6339799944144,9.651785276679997,19.58588773419961,0,0.0,0.0,0,0.62
